Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Window Size,Threshold
"Method B (average, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
"Method B (average, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.05
"Method B (average, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
"Method B (average, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
"Method B (median, average)",740,0.6777251184834123,0.0,0.0,0.0,0.0,740.0,6,0.05
"Method B (median, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.05
"Method B (median, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
"Method B (median, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
"Method B (outlier_detection, average)",739,0.6765402843601895,0.0,0.0,0.0,0.0,739.0,6,0.05
"Method B (outlier_detection, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.05
"Method B (outlier_detection, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
"Method B (outlier_detection, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
"Method B (average, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (average, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.1
"Method B (average, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (average, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (median, average)",772,0.7156398104265402,0.0,0.0,0.0,0.0,772.0,6,0.1
"Method B (median, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.1
"Method B (median, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (median, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (outlier_detection, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (outlier_detection, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.1
"Method B (outlier_detection, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (outlier_detection, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
"Method B (average, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (average, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.2
"Method B (average, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (average, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (median, average)",842,0.7985781990521327,0.0,0.0,0.0,0.0,842.0,6,0.2
"Method B (median, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.2
"Method B (median, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (median, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (outlier_detection, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (outlier_detection, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.2
"Method B (outlier_detection, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (outlier_detection, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
"Method B (average, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
"Method B (average, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.4
"Method B (average, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
"Method B (average, median)",712,0.6445497630331753,0.0,0.0,0.0,0.0,712.0,6,0.4
"Method B (median, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
"Method B (median, minimum)",28,0.23222748815165878,0.20588235294117646,1.0,0.34146341463414637,0.0,28.0,6,0.4
"Method B (median, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
"Method B (median, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
