Bus,d,k,alpha,h,Confusion Matrix,Accuracy,Precision,Recall,F1 Score
Bus117,3,10,10.0,20,"[[  8 251]
 [  0 168]]",0.41217798594847777,0.4009546539379475,1.0,0.5724020442930153
Bus117,3,10,10.0,30,"[[ 10 249]
 [  0 168]]",0.4168618266978923,0.4028776978417266,1.0,0.5743589743589743
Bus117,3,15,0.01,1,"[[259   0]
 [163   5]]",0.6182669789227166,1.0,0.02976190476190476,0.057803468208092484
Bus117,3,15,0.01,5,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.05,1,"[[259   0]
 [151  17]]",0.6463700234192038,1.0,0.10119047619047619,0.1837837837837838
Bus117,3,15,0.05,5,"[[259   0]
 [164   4]]",0.6159250585480094,1.0,0.023809523809523808,0.046511627906976744
Bus117,3,15,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.1,1,"[[255   4]
 [125  43]]",0.6978922716627635,0.9148936170212766,0.25595238095238093,0.4
Bus117,3,15,0.1,5,"[[259   0]
 [154  14]]",0.639344262295082,1.0,0.08333333333333333,0.15384615384615385
Bus117,3,15,0.1,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,1.0,1,"[[  5 254]
 [  0 168]]",0.405152224824356,0.3981042654028436,1.0,0.5694915254237288
Bus117,3,15,1.0,5,"[[ 10 249]
 [  0 168]]",0.4168618266978923,0.4028776978417266,1.0,0.5743589743589743
Bus117,3,15,1.0,10,"[[ 19 240]
 [  0 168]]",0.4379391100702576,0.4117647058823529,1.0,0.5833333333333334
Bus117,3,15,1.0,20,"[[ 37 222]
 [  0 168]]",0.48009367681498827,0.4307692307692308,1.0,0.6021505376344086
